id,name,lat,lon
restaurant_240037,"Popeyes 2003 N Hills St Meridian, Mississippi 39305 - USA",32.409378,-88.698269
restaurant_240679,"Popeyes 5825 FELLOW ST, Columbus, Georgia 31907 - USA",32.542822,-84.874462
restaurant_90633,"Popeyes 95 US HWY 27 Bremen, Georgia 30110 - USA",33.689308,-85.150002
restaurant_235638,"Popeyes 1314 South US Hwy 231 Ozark, Alabama 36360 - USA",31.444975,-85.655122
restaurant_82369,"Popeyes 828 Highway 19 N Meridian, Mississippi 39307 - USA",32.365438,-88.729287
restaurant_84950,"Popeyes 707 E Boll Weevil Cir Enterprise, Alabama 36330 - USA",31.325505,-85.833818
restaurant_85097,"Popeyes 487 South Boulevard Brewton, Alabama 36426 - USA",31.099242,-87.079056
restaurant_84153,"Popeyes (Military Post Access Required) Fort Rucker Food Court Fort Rucker, Alabama 36362 - USA",31.336481,-85.71262
restaurant_86605,"Popeyes 5489 Highway 45 ALT South West Point, Mississippi 39773 - USA",33.586,-88.659647
restaurant_90691,"Popeyes 302 N Main Street Cedartown, Georgia 30125 - USA",34.01762,-85.25331
restaurant_85423,"Popeyes 1804 S. Main St. Atmore, Alabama 36502 - USA",31.107449,-87.476931
restaurant_84379,"Popeyes 1827 Beltline Rd SW Decatur, Alabama 35601 - USA",34.575153,-87.017445
restaurant_239745,"Popeyes 100 Hickory Level Road Villa Rica, Georgia 30180 - USA",33.71729,-84.93927
restaurant_82805,"Popeyes 814A Highway 12 W Starkville, Mississippi 39759 - USA",33.448063,-88.842329
restaurant_85658,"Popeyes 1435 Hwy 34 Newnan, Georgia 30265 - USA",33.398679,-84.731637
restaurant_240204,"Popeyes 1502 Glenn Blvd SW Fort Payne, Alabama 35968 - USA",34.437207,-85.752765
restaurant_89298,"Popeyes 1304 Azalea Dr. Waynesboro, Mississippi 39367 - USA",31.687192,-88.631843
restaurant_86734,"Popeyes (Military Post Access Required) 3220 Acton Dr Huntsville, Alabama 35898 - USA",34.695902,-86.631886
restaurant_87480,"Popeyes 100 Felton Dr. Rockmart, Georgia 30153 - USA",34.010723,-85.039442
restaurant_240594,"Popeyes 1502 W Magnolia Ave Geneva, Alabama 36340 - USA",31.049247,-85.898045
restaurant_237276,"Popeyes 95 Fischer Crossing Boulevard Road Sharpsburg, Georgia 30277 - USA",33.397983,-84.621078
restaurant_239662,"Popeyes West Main St Dothan, Alabama 36301 - USA",31.239024,-85.466258
restaurant_87936,"Popeyes 5946 Hwy. 72 E Gurley, Alabama 35748 - USA",34.699246,-86.385629
restaurant_84807,"Popeyes 3354 Montgomery Hwy Dothan, Alabama 36303 - USA",31.254768,-85.429801
restaurant_87979,"Popeyes 3202 Broad St. Scottsboro, Alabama 35769 - USA",34.631369,-86.04812
restaurant_82002,"Popeyes 3820 University Dr NW Huntsville, Alabama 35816 - USA",34.735697,-86.626824
restaurant_84542,"Popeyes 9541 Highway 5 Douglasville, Georgia 30135 - USA",33.724,-84.762891
restaurant_82582,"Popeyes 1019 W Beacon St Philadelphia, Mississippi 39350 - USA",32.76941,-89.130973
restaurant_84981,"Popeyes 7064 US 72 Huntsville, Alabama 35806 - USA",34.754974,-86.710996
restaurant_90632,"Popeyes 2436 Shorter Ave Rome, Georgia 30165 - USA",34.272272,-85.236283
restaurant_85388,"Popeyes 3234 N Memorial Parkway Huntsville, Alabama 35810 - USA",34.768196,-86.586349
restaurant_242156,"Popeyes 103 Lexington Cir Peachtreecity, Georgia 30269 - USA",33.421636,-84.559521
restaurant_84704,"Popeyes 5753 Fairburn Rd Douglasville, Georgia 30134 - USA",33.75177,-84.72245
restaurant_241467,"Popeyes 1603 Turner McCall Blvd Rome, Georgia 30161 - USA",34.245125,-85.160858
restaurant_86524,"Popeyes 550 US Hwy 72 West, Athens, Alabama 35611 - USA",34.790512,-86.974968
restaurant_87838,"Popeyes 2231 Ross Clark Circle Dothan, Alabama 36301 - USA",31.191165,-85.405087
restaurant_84573,"Popeyes 5329 Wendy Bagwell Pkwy Hiram, Georgia 30141 - USA",33.887183,-84.739692
restaurant_85485,"Popeyes 4750 Jonesboro Road Union City, Georgia 30291 - USA",33.569233,-84.542546
restaurant_84638,"Popeyes 608 Thornton Rd Lithia Springs, Georgia 30122 - USA",33.789349,-84.621697
restaurant_241602,"Popeyes 1013 US-19 North Thomaston, Georgia 30286 - USA",32.92038,-84.334587
